x	y	angle	response
70.0462	809.593	21.5632	0.0201132
70.1112	897.939	27.4112	0.0243162
70.1817	881.311	23.8596	0.0326507
70.3197	860.496	203.474	0.0286157
70.5425	913.485	18.2901	0.0202709
71.3801	849.726	101.03	0.022443
71.3801	849.726	270.287	0.022443
71.5302	865.415	277.996	0.0177848
72.2301	954.238	20.782	0.0457758
72.2726	871.186	25.1234	0.0564525
72.4202	916.908	18.6601	0.0311731
72.4507	796.021	18.8607	0.0140988
72.4507	796.021	98.6733	0.0140988
72.5615	995.041	91.4738	0.0142637
72.8059	811.666	14.9619	0.0341489
73.5533	829.478	90.1777	0.0680236
74.6022	929.314	13.2904	0.0304554
75.0043	806.69	140.588	0.0277128
75.1568	990.512	90.8527	0.0225098
75.5253	916.398	341.506	0.0197288
76.0617	813.773	245.566	0.0257739
76.2443	884.604	21.7136	0.0357802
76.2973	946.019	25.3373	0.0246577
76.9603	747.95	9.5769	0.0219787
76.9603	747.95	237.623	0.0219787
77.0358	973.142	266.978	0.0173938
77.9563	908.573	349.879	0.0293158
78.0461	805.594	148.591	0.0179594
78.3864	864.814	19.1485	0.0394543
78.4806	776.278	86.5175	0.014162
78.4806	776.278	359.918	0.014162
78.5748	739.474	248.773	0.0182916
79.1597	945.774	21.748	0.0246246
79.5817	821.819	89.3494	0.0467822
79.8474	743.003	120.587	0.0144562
79.8474	743.003	248.009	0.0144562
79.8955	834.538	269.809	0.0394421
80.0292	927.733	167.874	0.0323444
80.1004	815.887	235.08	0.0163499
80.2393	804.313	72.752	0.018994
80.2393	804.313	107.487	0.018994
80.3092	936.706	21.8024	0.0374866
80.3751	937.081	22.5317	0.0371467
81.5502	947.47	184.183	0.0185502
81.941	867.419	19.5181	0.0359867
82.3561	923.413	88.3042	0.0191846
82.3561	923.413	326.277	0.0191846
82.435	953.056	192.582	0.0163899
83.0166	717.973	3.08017	0.0289274
83.9207	930.099	3.16788	0.0245064
83.9207	930.099	332.734	0.0245064
84.0036	986.972	239.287	0.0155943
84.0225	990.783	101.31	0.0164039
84.0225	990.783	259.005	0.0164039
84.6887	987.427	247.374	0.015962
84.8119	816.676	125.15	0.0261395
84.8119	816.676	317.36	0.0261395
85.6359	863.201	23.2862	0.0413227
85.658	677.34	6.73505	0.0165529
85.8367	807.114	61.8625	0.0308077
86.095	912.767	198.694	0.0196759
86.1785	900.2	210.462	0.0275371
86.4812	893.92	229.572	0.0312265
86.6894	812.763	227.781	0.0252876
86.8382	849.727	51.2539	0.0326973
87.0834	676.814	7.50995	0.0181766
87.1632	832.738	214.575	0.014142
87.4281	855.592	44.0927	0.0314922
87.7838	814.742	4.29752	0.0228593
88.1054	765.493	342.338	0.0168117
88.1593	654.416	13.0289	0.0153792
88.3027	955.958	124.771	0.0460172
88.6813	665.761	8.35077	0.0200712
88.7125	990.722	240.894	0.0201113
89.1265	911.521	21.9119	0.0239196
89.1924	918.585	22.4028	0.014699
89.7165	870.943	158.381	0.0174488
89.8217	904.891	186.681	0.0180114
89.9881	809.005	228.498	0.0187418
90.0905	1005.93	189.062	0.0153226
90.3866	840.534	44.9262	0.0269598
90.4364	966.896	263.697	0.0146198
90.4748	820.966	30.3402	0.0262133
90.4748	820.966	178.964	0.0262133
90.7196	949.499	192.387	0.0289718
90.9892	1036.09	9.08383	0.0214209
90.9892	1036.09	187.323	0.0214209
91.2772	643.233	5.47253	0.0171661
91.4036	862.359	162.987	0.0313724
91.4277	867.684	0.039032	0.0281126
91.6598	708.462	7.03809	0.0272602
91.6697	722.747	253.536	0.0180771
91.6697	722.747	324.055	0.0180771
91.7121	812.924	13.0427	0.026486
92.0994	910.171	21.5601	0.0295611
92.1114	835.458	51.6721	0.0345218
92.1114	835.458	195.533	0.0345218
92.1796	900.611	224.858	0.0363108
92.1993	835.662	50.8847	0.0346329
92.1993	835.662	191.982	0.0346329
92.2089	319.409	191.123	0.0274639
92.3903	766.551	324.325	0.0163129
92.4013	874.118	352.121	0.0255342
92.5519	1021.25	23.7612	0.0169094
93.3584	986.774	86.4462	0.0143812
93.3584	986.774	264.059	0.0143812
93.6463	1007.95	189.942	0.0177991
93.8288	865.583	2.49844	0.0158242
93.9564	623.52	8.64941	0.0168197
93.9922	871.501	354.963	0.0572742
94.1496	994.122	75.1448	0.0145246
94.8661	978.201	257.533	0.0142519
95.0011	816.298	158.066	0.0169181
95.0828	845.353	46.0255	0.0355456
95.2888	807.69	70.6259	0.0260514
95.9898	764.132	296.76	0.0176329
96.0011	856.987	58.6223	0.026106
96.3564	916.094	183.138	0.0154975
96.7872	291.884	7.85214	0.0347566
96.7872	291.884	192.603	0.0347566
97.2874	951.308	121.243	0.0331184
97.5125	691.819	114.718	0.0191562
97.5125	691.819	326.774	0.0191562
97.5211	733.023	312.797	0.0136348
97.5211	733.023	352.305	0.0136348
97.8476	761.361	290.72	0.0201022
97.9725	1030.24	13.602	0.0151745
98.0086	588.631	10.3139	0.0148774
98.7353	904.133	219.835	0.0358014
99.8687	995.829	77.832	0.0195894
99.8687	995.829	317.635	0.0195894
100.782	829.988	97.1084	0.0674677
100.961	811.886	258.82	0.0308861
101.064	764.971	39.2676	0.0266715
101.064	764.971	281.008	0.0266715
101.167	894.926	48.5162	0.0307874
101.167	894.926	233.484	0.0307874
101.43	586.294	10.1602	0.015921
101.65	603.611	9.9805	0.0170694
101.749	768.735	46.9516	0.0209277
102.579	962.732	289.174	0.0333353
102.982	784.422	67.0302	0.0202064
102.982	784.422	294.171	0.0202064
103.327	756.623	339.405	0.0333736
103.597	742.258	21.6906	0.0308308
103.597	742.258	308.366	0.0308308
104.183	845.985	264.385	0.0251114
104.67	954.995	101.722	0.039005
105.018	892.189	234.099	0.0188759
105.646	969.367	127.724	0.0251524
106.214	821.501	91.677	0.0446774
106.845	791.877	53.9891	0.0200403
107.319	769.819	286.429	0.0248278
107.482	231.049	184.873	0.0446254
107.582	199.477	269.911	0.0216162
108.007	745.965	29.2243	0.026249
108.227	843.929	105.371	0.0196783
108.442	834.663	96.6779	0.0350088
108.519	1023.15	84.8833	0.0145924
108.971	794.359	56.6301	0.0305814
109.266	850.6	98.7962	0.0269807
109.961	809.656	80.5836	0.0397553
109.961	809.656	240.637	0.0397553
110.082	806.11	73.0699	0.0255471
110.718	732.594	321.981	0.019746
110.732	750.056	141.209	0.0177989
110.819	809.093	78.5766	0.0407276
111.223	777.235	11.8812	0.0184575
111.223	777.235	273.393	0.0184575
111.427	786.939	346.618	0.0187799
112.163	190.557	194.084	0.0320859
112.163	190.557	252.286	0.0320859
112.245	950.049	95.0085	0.0180201
112.36	859.668	108.271	0.0231252
112.36	859.668	183.952	0.0231252
113.07	967.363	287.687	0.0272299
113.468	829.963	81.9119	0.0567039
113.646	804.816	40.4783	0.0242324
114.025	894.427	243.573	0.0280665
114.025	894.427	337.776	0.0280665
114.212	1031.55	83.9998	0.0195883
114.252	750.637	158.508	0.0190477
114.678	835.956	271.187	0.0334232
115.022	788.965	209.434	0.0180174
115.196	809.435	199.107	0.0242196
115.981	958.062	250.126	0.0204331
116.74	1060.87	186.347	0.0273221
116.884	153.449	14.9253	0.0204535
116.884	153.449	193.556	0.0204535
118.809	893.266	184.274	0.0373166
118.809	893.266	337.2	0.0373166
118.89	797.359	77.6625	0.0205689
118.894	788.423	18.5649	0.0254385
118.894	788.423	214.136	0.0254385
119.129	851.322	109.835	0.0230839
119.39	770.693	117.739	0.017527
119.39	770.693	300.394	0.017527
119.852	886.668	199.939	0.023828
119.895	829.901	87.8383	0.0508302
120.06	944.535	43.2473	0.0228478
120.227	964.058	274.411	0.0500408
120.556	724.077	142.874	0.0134843
120.761	136.742	187.523	0.0280295
